Name;Status;Population;Population;Population;Population
;;Census;Census;Census;Census
;;14/02/2000;17/10/2005;31/05/2010;15/03/2020
Aguascalientes;State;944,285;1,065,416;1,184,996;1,425,607
Aguascalientes;Municipality;643,419;723,043;797,010;948,990
Asientos;Municipality;37,763;40,547;45,492;51,536
Calvillo;Municipality;51,291;50,183;54,136;58,250
Cosío;Municipality;12,619;13,687;15,042;17,000
El Llano;Municipality;15,327;17,115;18,828;20,853
Jesús María;Municipality;64,097;82,623;99,590;129,929
Pabellón de Arteaga;Municipality;34,296;38,912;41,862;47,646
Rincón de Romos;Municipality;41,655;45,471;49,156;57,369
San Francisco de los Romo;Municipality;20,066;28,832;35,769;61,997
San José de Gracia;Municipality;7,244;7,631;8,443;9,552
Tepezalá;Municipality;16,508;17,372;19,668;22,485
Baja California;State;2,487,367;2,844,469;3,155,070;3,769,020
Ensenada;Municipality;...;335,263;377,804;443,807
Mexicali;Municipality;764,602;855,962;936,826;1,049,792
Playas de Rosarito [Rosarito Beach];Municipality;63,420;73,305;90,668;126,890
San Quintín (← Ensenada);Municipality;...;78,218;89,010;117,568
Tecate;Municipality;77,795;91,021;101,079;108,440
Tijuana;Municipality;1,210,820;1,410,700;1,559,683;1,922,523
Baja California Sur;State;424,041;512,170;637,026;798,447
Comondú;Municipality;63,864;63,830;70,816;73,021
La Paz;Municipality;196,907;219,596;251,871;292,241
Loreto;Municipality;11,812;11,839;16,738;18,052
Los Cabos;Municipality;105,469;164,162;238,487;351,111
Mulegé;Municipality;45,989;52,743;59,114;64,022
Campeche;State;690,689;754,730;822,441;928,363
Calakmul;Municipality;23,115;23,814;26,882;31,714
Calkiní;Municipality;46,899;49,850;52,890;59,232
Campeche;Municipality;216,897;238,850;259,005;294,077
Candelaria;Municipality;37,681;37,006;41,194;46,913
Carmen;Municipality;172,076;199,988;221,094;248,845
Champotón;Municipality;...;63,284;69,231;78,170
Escárcega;Municipality;50,563;50,106;54,184;59,923
Hecelchakán;Municipality;24,889;26,973;28,306;31,917
Hopelchén;Municipality;31,214;34,687;37,777;42,140
Palizada;Municipality;8,401;8,290;8,352;8,683
Seybaplaya (← Champotón);Municipality;...;12,832;13,790;15,297
Tenabo;Municipality;8,400;9,050;9,736;11,452
Chiapas;State;3,920,892;4,293,459;4,796,580;5,543,828
Acacoyagua;Municipality;14,189;14,653;16,814;17,994
Acala;Municipality;...;17,261;19,090;21,187
Acapetahua;Municipality;25,154;24,165;27,580;26,899
Aldama;Municipality;3,635;4,906;5,072;8,480
Altamirano;Municipality;21,948;24,725;29,865;36,160
Amatán;Municipality;18,778;19,637;21,275;24,512
Amatenango de la Frontera;Municipality;26,094;25,346;29,547;31,735
Amatenango del Valle;Municipality;6,559;8,506;8,728;11,283
Ángel Albino Corzo;Municipality;21,848;28,883;26,628;31,947
Arriaga;Municipality;37,989;38,572;40,042;41,135
Bejucal de Ocampo;Municipality;6,673;6,612;7,623;7,365
Bella Vista;Municipality;18,205;17,553;19,281;20,157
Benemérito de las Américas;Municipality;14,436;15,213;17,282;23,603
Berriozábal;Municipality;28,719;33,842;43,179;64,632
Bochil;Municipality;22,722;26,446;30,642;37,263
Cacahoatán;Municipality;39,033;40,975;43,811;50,112
Capitán Luis Ángel Vidal (← Siltepec);Municipality;...;3,184;3,653;4,315
Catazajá;Municipality;15,709;15,876;17,140;17,619
Chalchihuitán;Municipality;12,256;13,295;14,027;21,915
Chamula;Municipality;59,005;67,085;76,941;101,967
Chanal;Municipality;7,568;9,050;10,817;13,678
Chapultenango;Municipality;6,965;7,124;7,332;7,472
Chenalhó;Municipality;27,331;31,788;36,111;47,371
Chiapa de Corzo;Municipality;60,620;73,552;87,603;112,075
Chiapilla;Municipality;5,242;4,957;5,405;6,156
Chicoasén;Municipality;4,345;5,112;5,018;5,402
Chicomuselo;Municipality;24,994;28,260;31,515;36,785
Chilón;Municipality;77,686;95,907;111,554;137,262
Cintalapa;Municipality;64,013;73,668;78,114;88,106
Coapilla;Municipality;7,217;7,681;8,444;9,900
Comitán de Domínguez;Municipality;105,210;121,263;141,013;166,178
Copainalá;Municipality;19,298;20,257;21,050;22,192
El Bosque;Municipality;14,993;14,932;18,559;24,273
El Parral (← Villa Corzo);Municipality;...;13,291;14,169;15,587
El Porvenir;Municipality;11,641;12,831;13,201;12,263
Emiliano Zapata (← Acala);Municipality;...;8,742;9,857;10,783
Escuintla;Municipality;28,064;27,364;30,068;30,896
Francisco León;Municipality;5,236;6,454;7,000;7,245
Frontera Comalapa;Municipality;52,168;57,580;67,012;80,897
Frontera Hidalgo;Municipality;10,917;10,902;12,665;14,556
Honduras de la Sierra (← Siltepec);Municipality;...;10,005;10,708;11,650
Huehuetán;Municipality;31,464;30,450;33,444;36,333
Huitiupán;Municipality;20,041;20,087;22,536;27,893
Huixtán;Municipality;18,630;19,018;21,507;22,975
Huixtla;Municipality;48,476;47,953;51,359;53,242
Ixhuatán;Municipality;8,877;8,734;10,239;11,377
Ixtacomitán;Municipality;9,143;9,696;10,176;10,961
Ixtapa;Municipality;18,533;21,705;24,517;28,999
Ixtapangajoya;Municipality;4,707;4,911;5,478;6,284
Jiquipilas;Municipality;34,937;35,831;37,818;41,063
Jitotol;Municipality;13,076;15,005;18,683;24,966
Juárez;Municipality;19,956;20,173;21,084;21,807
La Concordia;Municipality;39,770;40,189;44,082;49,920
La Grandeza;Municipality;5,969;6,723;7,272;7,701
La Independencia;Municipality;32,245;36,951;41,266;46,409
La Libertad;Municipality;5,288;5,286;4,974;5,232
Larráinzar;Municipality;16,538;17,320;20,349;31,259
Las Margaritas;Municipality;86,413;98,374;111,484;141,027
Las Rosas;Municipality;21,100;24,969;25,530;28,829
La Trinitaria;Municipality;59,686;60,417;72,769;83,111
Mapastepec;Municipality;39,055;37,945;43,913;46,130
Maravilla Tenejapa;Municipality;11,147;10,906;11,451;14,714
Marqués de Comillas;Municipality;8,580;8,538;9,856;12,892
Mazapa de Madero;Municipality;7,180;6,845;7,793;7,901
Mazatán;Municipality;24,079;24,017;26,573;28,250
Metapa;Municipality;4,794;4,806;5,033;5,876
Mezcalapa (← Tecpatán);Municipality;...;19,609;21,008;23,847
Mitontic;Municipality;7,602;9,042;11,157;13,755
Montecristo de Guerrero;Municipality;5,086;6,511;6,900;8,412
Motozintla;Municipality;59,875;58,115;69,119;76,398
Nicolás Ruíz;Municipality;3,135;3,935;4,317;4,765
Ocosingo;Municipality;146,696;170,280;198,877;234,661
Ocotepec;Municipality;9,271;10,543;11,878;14,088
Ocozocoautla de Espinosa;Municipality;65,673;72,305;81,885;97,397
Ostuacán;Municipality;17,026;16,392;17,067;18,469
Osumacinta;Municipality;3,132;3,440;3,792;3,983
Oxchuc;Municipality;37,887;41,423;43,350;54,932
Palenque;Municipality;85,464;97,991;110,918;132,265
Pantelhó;Municipality;16,262;19,228;20,589;26,391
Pantepec;Municipality;8,566;9,785;10,870;12,266
Pichucalco;Municipality;29,357;29,583;29,813;31,919
Pijijiapan;Municipality;46,949;46,439;50,079;51,193
Pueblo Nuevo Solistahuacán;Municipality;...;21,691;23,831;29,636
Rayón;Municipality;6,870;7,965;9,002;10,866
Reforma;Municipality;34,809;34,896;40,711;44,829
Rincón Chamula San Pedro (← Pueblo Nuevo Solistahuacán);Municipality;...;6,141;7,244;8,718
Sabanilla;Municipality;21,156;23,675;25,187;29,889
Salto de Agua;Municipality;49,300;53,547;57,253;64,251
San Andrés Duraznal;Municipality;3,423;3,145;4,545;6,047
San Cristóbal de Las Casas;Municipality;132,421;166,460;185,917;215,874
San Fernando;Municipality;26,436;29,543;33,060;41,793
San Juan Cancuc;Municipality;20,688;24,906;29,016;37,948
San Lucas;Municipality;5,673;5,918;6,734;7,526
Santiago el Pinar;Municipality;2,174;2,854;3,245;4,959
Siltepec;Municipality;...;22,682;23,782;25,937
Simojovel;Municipality;31,615;32,451;40,297;52,935
Sitalá;Municipality;7,987;10,246;12,269;15,518
Socoltenango;Municipality;15,171;15,885;17,125;19,092
Solosuchiapa;Municipality;7,784;7,900;8,065;8,561
Soyaló;Municipality;7,767;8,852;9,740;10,890
Suchiapa;Municipality;15,890;18,406;21,045;25,627
Suchiate;Municipality;30,251;32,976;35,056;41,672
Sunuapa;Municipality;1,936;2,088;2,235;2,308
Tapachula;Municipality;271,674;282,420;320,451;353,706
Tapalapa;Municipality;3,639;3,928;4,121;4,547
Tapilula;Municipality;10,349;9,934;12,170;13,592
Tecpatán;Municipality;...;18,055;20,211;21,426
Tenejapa;Municipality;33,161;37,826;40,268;48,162
Teopisca;Municipality;26,996;32,368;37,607;49,499
Tila;Municipality;58,153;63,172;71,432;83,505
Tonalá;Municipality;78,438;78,516;84,594;91,913
Totolapa;Municipality;5,513;5,839;6,375;7,211
Tumbalá;Municipality;26,866;28,884;31,723;38,025
Tuxtla Chico;Municipality;33,467;34,101;37,737;41,024
Tuxtla Gutiérrez;Municipality;434,143;503,320;553,374;604,147
Tuzantán;Municipality;23,180;24,417;28,137;30,302
Tzimol;Municipality;11,925;12,757;14,009;16,560
Unión Juárez;Municipality;13,934;13,459;14,089;16,008
Venustiano Carranza;Municipality;52,833;56,833;61,341;67,292
Villa Comaltitlán;Municipality;26,706;26,414;27,899;30,297
Villa Corzo;Municipality;...;54,523;60,308;65,643
Villaflores;Municipality;85,957;93,023;98,618;109,536
Yajalón;Municipality;26,044;31,457;34,028;40,285
Zinacantán;Municipality;29,754;31,061;36,489;45,373
Chihuahua;State;3,052,907;3,241,444;3,406,465;3,741,869
Ahumada;Municipality;11,901;11,727;11,457;14,635
Aldama;Municipality;19,378;19,879;22,302;26,047
Allende;Municipality;8,561;8,263;8,409;8,487
Aquiles Serdán;Municipality;5,327;6,212;10,688;24,344
Ascensión;Municipality;21,939;22,392;23,975;26,093
Bachíniva;Municipality;6,403;5,843;6,011;5,807
